program,n,k,mean_time_s,std_time_s
Program 4A,1000,2,0.07564400002593175,0.0
Program 4A,2000,2,0.4653674000292085,0.0
Program 4A,3000,2,1.3715041000396013,0.0
Program 4A,4000,2,3.3585060000186786,0.0
Program 4A,5000,2,6.499503200000618,0.0
Program 4B,1000,2,0.05581770004937425,0.0
Program 4B,2000,2,0.3603024000185542,0.0
Program 4B,3000,2,1.1901629000203684,0.0
Program 4B,4000,2,2.8834075999911875,0.0
Program 4B,5000,2,5.6020028999773785,0.0
