n,k,mean_time_s,std_time_s
1000,2,0.09084489999804646,0.0
2000,2,0.47333599999547005,0.0
3000,2,1.4215811000321992,0.0
4000,2,3.350308099994436,0.0
5000,2,6.6834993999800645,0.0
