n,k,mean_time_s,std_time_s
1000,2,0.05617789999814704,0.0
2000,2,0.3584358000080101,0.0
3000,2,1.1802129999850877,0.0
4000,2,2.8471336999791674,0.0
5000,2,5.51645070000086,0.0
