n,mean_ratio,std_ratio
500,-0.22035478511535717,0.03250175642602597
1000,-0.20808045186168309,0.015595870227855366
1500,-0.21649790351304882,0.018084751353405596
2000,-0.2076768405546771,0.013751830124516968
2500,-0.2115433303828762,0.011473437715217194
