n,k,mean_time_s,std_time_s
10000,2,0.0014591999934054911,0.0
20000,2,0.0030168999801389873,0.0
40000,2,0.005580400000326335,0.0
60000,2,0.008368499984499067,0.0
80000,2,0.01263959996867925,0.0
