n,k,mean_time_s,std_time_s
10,2,1.5199999324977398e-05,0.0
12,2,2.1799991372972727e-05,0.0
14,2,4.2499974370002747e-05,0.0
16,2,8.710002293810248e-05,0.0
18,2,0.00019829999655485153,0.0
20,2,0.00039519998244941235,0.0
